737767,113919036,1,1628683915,"Tiền thì đã nhận còn hàng thì không giao mà bảo đã giao thành công thì thật không thể tưởng tưởng dc bên nhà bán hàng này làm ăn kiểu gì nữa!!! 

Mình có yêu cầu hủy đơn với TIKI và được xác nhận đã báo xong rồi lại nhận được dấu giao hàng thành công là một sự bất ngờ rất lớn (hàng chưa hề về tay)"
175269,113919036,1,1628934716,"Đơn hàng của tôi gồm 4 items của shop này, đặt hôm 4/8 đã thanh toán trước qua thẻ, dự kiến giao là ngày 5/8 nhưng hôm đó tôi vẫn chưa nhận được hàng, và ráng chờ tiếp đến chiều tối ngày 6/8 vô kiểm tra đơn hàng thì tình trạng đơn hàng tự động chuyển sang ""Giao hàng thành công"" trong khi tôi chưa nhận được hàng cũng như không nhận được bất kì cuộc gọi nào của shipper để lấy hàng. 
Sau khi thấy đơn hàng của mình vô cớ đổi thành giao hàng thanh công, tối 6/8 tôi điền form gửi yêu cầu hỗ trợ cho tiki để nhờ hỗ trợ cũng như làm rõ và kiểm tra lại đơn hàng giúp tôi. Những ngày kế tiếp sau đó, tôi lại tiếp tục gọi điện hotline rồi sử dụng tiki chat để gặp các bạn tư vấn viên để khiếu nại về tình trạng đơn hàng của mình. 
Thế nhưng cho đến nay cũng đã tròn 1 tuần, và sau những lần cố gắng liên lạc nhờ tiki hỗ trợ, lần nào cũng y chang 1 câu đáp từ tiki là đang kiểm tra và làm việc với bên nhà cung cấp, khi nào có thông tin sẽ liên hệ với tôi, tiki sẽ cố gắng hối thúc kiểm tra gấp giúp tôi. Nhưng tôi thật sự không rõ kiểm tra liên lạc với nhà cung cấp kiểu gì mà mât cả tuần cũng chưa xong. Bây giờ tôi cũng không có nhu cầu nhận hàng gì nữa, tôi chỉ mong sớm được hoàn tiền. Tôi thật sự đã có 1 trải nghiệm vô cùng tệ với dịch vụ hỗ trợ của tiki. Tác phong làm việc xử lý quá chậm chạp."
18718107,113919036,5,1628413949,tuyệt vời
292961,113919036,5,1628164916,Thịt chắc
469796,113919036,5,1631412615,giao nhah
22494321,113919036,5,1628734708,Thịt ngon
22811646,113919036,5,1628824651,đùi to
22918125,113919036,5,1633137486,Ok
1194341,113919036,5,1633674812,.
9611163,113919036,4,1634302794,
20026430,113919036,5,1629349088,Tốt
16226384,113919036,5,1633931609,
211146,113919036,5,1633929950,
75554,113919036,5,1633923991,
12616900,113919036,5,1633859682,
5098906,113919036,4,1633832096,
796267,113919036,5,1633786741,
5692694,113919036,5,1633751912,
14864949,113919036,5,1633568219,
6341630,113919036,5,1633534743,
10078216,113919036,5,1633492590,
16569997,113919036,5,1633484714,
22804974,113919036,5,1631529187,ok
5235089,113919036,5,1633366079,
7915946,113919036,5,1633172080,
13847136,113919036,5,1633100994,
8603669,113919036,5,1633061519,
23002171,113919036,5,1632805515,
6721348,113919036,5,1632732704,
7057420,113919036,4,1632677112,
7996837,113919036,5,1632671428,
11293019,113919036,5,1632637211,
12561813,113919036,5,1632628974,
16879127,113919036,5,1632573050,
620317,113919036,4,1630669847,Ok
1881305,113919036,4,1632507347,
12713358,113919036,4,1632495283,
15079066,113919036,5,1632478028,
7943404,113919036,5,1632467182,
22819228,113919036,5,1632443368,
5095000,113919036,4,1632409156,
23613530,113919036,5,1632365449,
12106444,113919036,5,1632230792,
6494008,113919036,5,1632121804,
15885614,113919036,4,1632110031,
20348555,113919036,4,1632033689,
23406514,113919036,5,1631971446,
21317474,113919036,4,1631773325,
1216318,113919036,5,1631703454,
5345552,113919036,4,1631599536,
22830955,113919036,4,1631376185,
5468246,113919036,5,1631200110,
12476432,113919036,5,1630957020,
7625190,113919036,5,1630940474,
50842,113919036,5,1630912164,
1643956,113919036,5,1630775978,
9670854,113919036,5,1630756511,
8406002,113919036,4,1630676892,
7903270,113919036,5,1628758712,ok
7269565,113919036,5,1630582403,
21623681,113919036,5,1630513137,
7948794,113919036,5,1630466836,
8679057,113919036,5,1630377850,
13065268,113919036,5,1630236419,
22836469,113919036,5,1630217541,
8692625,113919036,5,1630202005,
14234191,113919036,5,1630041623,
15984320,113919036,5,1629988994,
8376989,113919036,5,1629884591,
17472642,113919036,5,1629740240,
8180673,113919036,5,1629712897,
8930300,113919036,5,1629636380,
5898637,113919036,5,1629611408,
20455842,113919036,5,1629601787,
16096159,113919036,5,1629597727,
17765257,113919036,4,1629572651,
1181858,113919036,5,1629549910,
11032424,113919036,5,1629527345,
22645869,113919036,5,1629512711,
23043113,113919036,5,1629474778,
1353758,113919036,5,1629441258,
5260302,113919036,5,1629440645,
12982336,113919036,5,1629429289,
11221232,113919036,5,1629394471,
22868169,113919036,5,1629392548,
12226507,113919036,5,1629353357,
10470221,113919036,5,1629343188,
6198609,113919036,5,1629298590,
18875445,113919036,4,1629280188,
14398425,113919036,5,1629247987,
22962270,113919036,5,1629183195,
341776,113919036,5,1629177109,
1425077,113919036,5,1629166631,
14110985,113919036,4,1629089414,
8377283,113919036,5,1629038486,
953520,113919036,5,1629029106,
5482222,113919036,5,1629022659,
21766776,113919036,5,1629021524,
7677266,113919036,5,1629019646,
7395566,113919036,5,1629003593,
5993863,113919036,5,1628998827,
22795798,113919036,5,1628932993,
13335950,113919036,4,1628921175,
11763350,113919036,5,1628873931,
21377355,113919036,5,1628869712,
5404173,113919036,5,1628865634,
594726,113919036,5,1628826247,
7799830,113919036,4,1628825749,
9032226,113919036,4,1628813764,
448528,113919036,5,1628759662,
9173877,113919036,5,1628739196,
12347380,113919036,5,1628707460,
10494596,113919036,5,1628695317,
11544593,113919036,5,1628692091,
8705401,113919036,5,1628658314,
20324807,113919036,4,1628600394,
22764965,113919036,5,1628585914,
10886713,113919036,5,1628475059,
19541,113919036,5,1628474491,
1456683,113919036,4,1628426850,
7336380,113919036,5,1628425320,
1621658,113919036,5,1628403459,
13023674,113919036,5,1628395191,
11712625,113919036,4,1628315292,
14851064,113919036,5,1628276725,
20489256,113919036,5,1628262482,
18412391,113919036,5,1628259937,
6645640,113919036,5,1628225589,
11054991,113919036,4,1628175163,
8219667,113919036,5,1628138612,
22801830,113919036,5,1628076059,
5118663,113919036,5,1628044136,
9131791,113919036,4,1627953386,
22759132,113919036,5,1627820679,
19853180,113919036,5,1627455722,
7729569,113919036,4,1627693770,
13504224,113919036,5,1627723832,
14801176,113919036,5,1627779293,
22523372,113919036,5,1627798519,
17354562,113919036,4,1627804839,
17483967,113919036,5,1627853141,
2025548,106475021,5,1627542022,Mình chỉ đánh giá đủ hai mươi lăm từ để được nhận xu từ tiki thôi.  Sorry vì đã làm phiền.  Mình xin cam ơn nhiều.  Cảm ơn nhiều.  Cảm ơn nhiều
85672,106475021,5,1629610789,"Thịt được giao tươi, từ tủ lạnh. Thịt dày, mỡ vừa phải. Giao hàng nhanh. Cảm ơn tiki và shop"
