Product_ID,Product_Name,Product_Price,Category,Brand,Origin,Brand_Origin
116143911,[Chỉ giao HN]Nạc vai bò Mỹ Kiwifood - 1 khay 300g,99000,Thực Phẩm Tươi Sống/Thịt/Thịt Bò,KiwiFood,Việt Nam,-1
123881772,[Chỉ giao HCM] Đùi gà tỏi 500g,65000,Thực Phẩm Tươi Sống/Thịt/Thịt Gà,OEM,Việt Nam,-1
120404273,Combo 43: 1kg Cá saba Nhật + 500gr Lõi vai bò Úc cắt lát,289000,Thực Phẩm Tươi Sống/Thịt/Thịt Bò,OEM,Mỹ,-1
126126732,Lá Lách Bò Úc,219000,Thực Phẩm Tươi Sống/Thịt/Thịt Bò,OEM,Úc,-1
120571285,Combo 5kg Cánh Gà Khúc Giữa,729000,Thực Phẩm Tươi Sống/Thịt/Thịt Gà,OEM,Mỹ,-1
58941293,[Chỉ Giao HCM] - Thịt ba rọi heo hữu cơ FAU - 500g,152500,Thực Phẩm Tươi Sống/Thịt/Thịt Heo,Go Green,Việt Nam,-1
118331626,[Giao Nhanh 2H] Combo 1kg Ba chỉ bò Mỹ Hotpot,208000,Thực Phẩm Tươi Sống/Thịt/Thịt Bò,OEM,Mỹ,-1
123149862,[Chỉ giao HN] Thịt lợn quê - Sườn ngon - 1kg,120000,Thực Phẩm Tươi Sống/Thịt/Thịt Heo,OEM,Việt Nam,-1
123150272,Lõi Nạc Bò Mỹ Cuộn,365000,Thực Phẩm Tươi Sống/Thịt/Thịt Bò,COOMEE,Mỹ,Việt Nam
126873875,[Chỉ giao HN] Mông - 500g,60000,Thực Phẩm Tươi Sống/Thịt/Thịt Heo,OEM,Việt Nam,-1
121220189,Combo 72: 1kg Sườn bẹ heo Olymel + 1kg Đùi gà góc tư,285000,Thực Phẩm Tươi Sống/Thịt/Thịt Heo,OEM,Mỹ,-1
121493175,[Chỉ giao HCM] Cốt lết heo 300g-3502345,42300,Thực Phẩm Tươi Sống/Thịt/Thịt Heo,OEM,Việt Nam,-1
103044621,"HCM - Đùi gọ bò Úc (350g) - Thích hợp với các món xào, nhúng lẩu hoặc bít tết, bò kho, luộc, nướng, quay,... - [Giao nhanh TPHCM]",99000,Thực Phẩm Tươi Sống/Thịt/Thịt Bò,TOPMEAL,Việt Nam,Việt Nam
58215883,[Chỉ Giao HCM] - Thịt Nạc Dăm Heo Monang - khay 500gr (số lượng thực tế chênh lệch 10%) - Không chất tạo nạc Không hóa chất tẩm ướp,112500,Thực Phẩm Tươi Sống/Thịt/Thịt Heo,3Sạch Food,Việt Nam,Việt Nam
126881260,[Chỉ giao HN] Ba chỉ bò - 1kg,150000,Thực Phẩm Tươi Sống/Thịt/Thịt Bò,OEM,Việt Nam,-1
122413770,Dẻ Sườn Bò Ấn Độ Nhập Khẩu 500Gr ,99000,Thực Phẩm Tươi Sống/Thịt/Thịt Bò,OEM,Ấn Độ,-1
121397874,[Chỉ giao HCM] Vú heo - 1KG,290000,Thực Phẩm Tươi Sống/Thịt/Thịt Heo,OEM,Việt Nam,-1
